Date,sma10,wma10,ema10,mom,stck%,stcd%,RSI_10,macd,r,ad,cci,roc,obv,dis,lband,hband,t_n,t_n1,t_n2
2011-02-23,10728.475,10737.942862215908,10693.44907927765,-38.73046875,2.850724065697198,75.21947169280608,45.703159042910585,94.6693117639994,-97.1492759343028,-13874824817.09559,-66.66666666665793,-0.5347965760385132,4375200000.0,-0.00013923264082267085,10526.63987737105,10930.310122628951,10579.099609375,10452.7099609375,10526.759765625
2011-02-24,10711.96298828125,10687.803764204546,10649.678330488532,-152.9404296875,5.2523838536736545,67.36384759617786,37.91504846568854,89.92024911515888,-94.74761614632635,-13572181058.126139,-66.66666666666202,-1.555121112059259,4190300000.0,-0.00024202195958608998,10456.681861255365,10967.244115307134,10452.7099609375,10526.759765625,10624.08984375
2011-02-25,10704.07392578125,10654.130450994318,10627.329500513344,-198.7802734375,21.23827574066539,61.34133077163888,44.11452136832004,83.39192870434121,-78.76172425933461,-13733845045.264402,66.66666666669101,-0.7438546632626734,4345000000.0,-0.00016565109825071372,10431.826518646076,10976.321332916423,10526.759765625,10624.08984375,10754.0302734375
2011-02-28,10693.92890625,10639.587890625,10626.740472010917,-122.580078125,42.24991936112932,55.56632270775181,51.22710805136746,77.2798243571614,-57.75008063887068,-13758807686.921299,66.66666666667827,-0.9458749390988015,4531600000.0,-6.530720665178751e-05,10418.099921641318,10969.75789085868,10624.08984375,10754.0302734375,10492.3798828125
2011-03-01,10694.66494140625,10650.515411931818,10649.884072270295,-54.259765625,70.30149450706988,52.87440682940644,58.97272457182842,73.45666998211735,-29.69850549293013,-14103459310.309649,66.66666666667123,0.06848960297475871,4688000000.0,5.550929585592388e-05,10418.238304479359,10971.091578333142,10754.0302734375,10492.3798828125,10586.01953125
2011-03-02,10663.07392578125,10613.736310369319,10621.24694691433,-344.259765625,13.816337329788736,44.97171447015878,43.51222941242417,67.3397650162125,-86.18366267021126,-13671710147.49477,-66.66666666666346,-2.922850470409857,4534700000.0,-0.00016007958320165454,10373.897250762357,10952.250600800142,10492.3798828125,10586.01953125,10693.66015625
2011-03-03,10638.0119140625,10599.726420454546,10614.841962248087,-256.7802734375,36.318331844658886,39.744364403117544,48.84503638292519,61.268974428339476,-63.681668155341114,-13897705819.420103,66.66666666669161,-2.312710630953167,4657100000.0,-4.887415358481597e-05,10370.737411904942,10905.286416220057,10586.01953125,10693.66015625,10505.01953125
2011-03-04,10623.09794921875,10609.844282670454,10629.172542975708,-163.8701171875,61.5485528623282,37.227214927053296,54.34956661149967,56.95761531436494,-38.4514471376718,-14269327746.651539,66.6666666666718,-1.3754717519825899,4805400000.0,6.642337985449772e-05,10388.557093931462,10857.63880450604,10693.66015625,10505.01953125,10525.1904296875
2011-03-07,10587.846875,10588.375479403408,10606.599268116488,-159.6806640625,22.537771638460587,30.54240993118924,44.93440135070827,51.12996313869979,-77.46222836153942,-13990916316.960136,-66.66666666666319,-3.2466936154891783,4656000000.0,-7.822869439637534e-05,10404.455329052154,10771.238420947844,10505.01953125,10525.1904296875,10589.5
2011-03-08,10573.8958984375,10576.9833984375,10591.7976611294,-53.9091796875,28.469519917521275,30.458331112099312,46.04488455606156,44.800706168610894,-71.53048008247873,-14163872971.39118,-66.6666666663013,-1.3081452180560997,4806300000.0,-4.606199003453169e-05,10394.838089181929,10752.953707693072,10525.1904296875,10589.5,10434.3798828125
2011-03-09,10574.9359375,10579.8205078125,10591.379904560417,136.7900390625,47.38132913664416,34.911391619194006,49.64241424309484,39.298011936757725,-52.61867086335584,-14397885992.224514,66.66666666667679,0.09831073540307125,4937300000.0,1.3772246551729653e-05,10395.648637108647,10754.223237891354,10589.5,10434.3798828125,10254.4296875
2011-03-10,10573.1029296875,10554.264861505682,10562.834446060795,-92.3798828125,6.775951816422751,35.06374841546892,42.116282778273764,32.26181307779473,-93.22404818357725,-14190906580.955484,-66.66666666666063,-0.17536197018285946,4806300000.0,-0.000131203723067416,10388.556939549215,10757.648919825786,10434.3798828125,10254.4296875,9620.490234375
2011-03-11,10545.869921875,10496.324272017046,10506.760853595195,-369.66015625,0.0,32.93992084140238,35.231480290527735,21.90835858331412,-100.0,-13742597750.830936,-66.66666666666164,-2.5870266272655944,4570300000.0,-0.00027635485411257963,10279.688303068519,10812.051540681483,10254.4296875,9620.490234375,8605.150390625
2011-03-14,10445.5099609375,10328.073419744318,10345.620741009703,-1133.5400390625,3.516605462869788,29.066589451576426,21.484261751676527,0.692527891834871,-96.48339453713021,-13089202838.484797,-66.66666666666534,-9.44645258215134,4220500000.0,-0.0007898319274480426,9836.701410491058,11054.31851138394,9620.490234375,8605.150390625,9093.7197265625
2011-03-15,10230.62197265625,9993.46258877841,10029.1715863943,-1887.2294921875,14.858333471059609,23.522273347975403,12.67962439324062,-41.181260942795916,-85.14166652894039,-12551035277.167612,-66.66666666666593,-19.982088837151988,3804800000.0,-0.0015888296785627565,9004.801477235862,11456.442468076639,8605.150390625,9093.7197265625,8962.669921875
2011-03-16,10090.75595703125,9786.753089488637,9859.089430061245,-1492.2998046875,34.087291810718746,25.5493687960684,28.373702446230862,-87.08686568090903,-65.91270818928126,-13215252491.344873,66.66666666667005,-13.330247016133454,4176900000.0,-0.0009880689164561687,8707.282905922966,11474.229008139533,9093.7197265625,8962.669921875,9206.75
2011-03-17,9928.42099609375,9581.646537642046,9696.104064936473,-1730.990234375,28.929474793977505,24.81048309100026,26.931114805667367,-135.06203395370468,-71.0705252060225,-12903002129.583988,-66.66666666666006,-15.334844268734448,3864800000.0,-0.0009727136617179267,8438.621021976702,11418.220970210798,8962.669921875,9206.75,9608.3203125
2011-03-18,9779.72998046875,9450.433629261364,9607.130598584386,-1298.26953125,40.21951431825284,22.677579236592727,33.88720437055023,-178.20784648094832,-59.78048568174716,-13416614667.83095,66.66666666666879,-13.904595194947941,4110200000.0,-0.0005858852766007417,8328.814713433741,11230.645247503759,9206.75,9608.3203125,9449.4697265625
2011-03-22,9690.06005859375,9419.268235085226,9607.346910205408,-916.8701171875,56.71489894968323,26.095291967714992,43.68721305643485,-209.96343147718645,-43.28510105031676,-14086061015.000086,66.6666666666687,-8.535911961729605,4362800000.0,-8.435422030357603e-05,8320.99947948147,11059.12063770603,9608.3203125,9449.4697265625,9435.009765625
2011-03-23,9582.48798828125,9375.524538352272,9578.641967724878,-1140.0302734375,50.18976142730438,28.267316118693305,41.01501567804651,-234.74027061539587,-49.81023857269562,-13779675935.446978,-66.66666666665573,-10.220439338473222,4097700000.0,-0.00013881390916578432,8328.60750893266,10836.368467629838,9449.4697265625,9435.009765625,9536.1298828125
2011-03-24,9467.03896484375,9348.710316051136,9552.527021888536,-999.3701171875,52.0077130911803,28.729954514146915,40.76283352546809,-253.56046481472248,-47.9922869088197,-13844707845.82661,-66.66666666663372,-10.902216670994854,3897600000.0,-3.3832330613291177e-05,8407.806694656738,10526.271235030763,9435.009765625,9536.1298828125,9478.5302734375
2011-03-25,9377.21396484375,9361.272301136363,9549.545723874711,-718.2998046875,60.83443584730733,34.13580291723538,43.463840491307586,-265.653877606583,-39.16556415269266,-14187917802.224789,66.66666666667699,-8.608561410339261,4101300000.0,0.00016947029103158397,8530.273045385275,10224.154884302225,9536.1298828125,9478.5302734375,9459.080078125
2011-03-28,9299.6240234375,9379.69344815341,9536.633823795219,-141.9599609375,68.64441794724078,41.00024471195945,42.244729011606445,-273.13138817513317,-31.355582052759207,-14011106522.663586,-66.66666666665209,-7.5664804158568675,3908600000.0,0.0001923800892908242,8675.499714386697,9923.748332488303,9478.5302734375,9459.080078125,9708.7900390625
