Date,sma10,wma10,ema10,mom,stck%,stcd%,rsi,macd,r,ad,cci,roc,obv,ris,lband,hband,t_n
2010-03-09,10274.2109375,10345.793039772727,10341.768377104052,368.8203125,94.95824805173591,50.30082423719015,61.14292695436894,29.60911306500202,-5.041751948264099,2898600738.61124,152.39520103434737,2.0821938484323925,2996100000.0,0.0002856077755362904,9939.73320316985,10608.68867183015,10563.919921875
2010-03-10,10310.719921875,10398.467400568183,10382.159567062406,461.9599609375,94.22410562426128,54.88874951762004,72.32501367500544,46.57663357086494,-5.775894375738707,2877842700.682893,108.26359456190559,3.5797227814694583,2891300000.0,0.0002455696613995082,9939.447327048427,10681.992516701572,10664.9501953125
2010-03-11,10367.0189453125,10462.872904829546,10433.57604492606,538.919921875,100.0,62.843332029184374,84.2522286151572,67.39888217792759,-0.0,3001642700.682893,103.84279823815177,5.573079249492021,3015100000.0,0.0002873837229116966,9969.621957854368,10764.415932770633,10751.259765625
2010-03-12,10429.54189453125,10532.734872159092,10491.336721416776,579.2001953125,96.02947589377445,69.85033087461201,85.36088555342118,89.8296252177588,-3.970524106225563,3069626891.4231477,109.91938724918451,6.174477809212122,3221700000.0,0.0003084678831986312,10007.50626080619,10851.57752825631,10751.98046875
2010-03-15,10487.533984375,10591.36006747159,10538.72649365918,530.140625,91.56976617915984,75.46041745785179,84.57010260906215,106.43736174933292,-8.430233820840156,3051503188.7624655,96.2565363810417,5.701115830367518,3352400000.0,0.0002521531608564879,10063.588774542884,10911.479194207117,10721.7099609375
2010-03-16,10537.52099609375,10633.937517755681,10571.996214982511,468.5703125,87.08172073836941,80.41920888884287,80.50775229374202,115.8214183887485,-12.918279261630593,2964377574.7614617,81.02163207537255,4.890216681423927,3245800000.0,0.00017479344991296216,10133.252842225622,10941.789149961878,10846.98046875
2010-03-17,10596.905078125,10690.202876420455,10621.993352031144,701.2607421875,97.62725968896832,85.57413189500292,82.51350868694387,131.84678625494598,-2.3727403110316705,3055502652.0014205,104.30144433581157,5.7917949103813955,3383500000.0,0.0002359890824550513,10202.844385888458,10990.965770361543,10744.0302734375
2010-03-18,10656.7361328125,10716.952911931818,10644.181883195937,375.0703125,80.2736408455893,91.9397707786223,82.91935411074168,134.68719522769243,-19.726359154410705,2953541187.0332675,70.48847259189961,5.897172039047794,3253300000.0,8.191451823247951e-05,10395.592782526972,10917.87948309803,10824.7197265625
2010-03-19,10702.312109375,10747.495383522728,10677.00694562622,238.7998046875,88.69203727470565,93.02470631172318,79.74152104921042,141.81445555274695,-11.307962725294347,3060571443.815289,81.07868511081391,4.3954241056187175,3369600000.0,0.00011437492752643036,10507.251821494781,10897.372397255218,10774.150390625
2010-03-23,10721.13515625,10760.556889204545,10694.669390171453,206.5,71.95889503836503,90.24151493349291,65.69082685613621,141.7483511679293,-28.041104961634964,2981075626.63707,56.53507327053879,1.7781210337803146,3257100000.0,4.9449273423340664e-05,10538.716060566318,10903.554251933683,10815.0302734375
